################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         45   0.0000000000000000E+00   9.7482117510850494E-02   2.9232490443672435E-02   1.8045432904210248E-02
         1         46   7.7155245524946937E-06   1.5862950729372310E-01   5.4444417069370629E-02   3.0141095399814036E-02
         1         47   7.7155245524946937E-06   1.5862950729372310E-01   5.4444417069370629E-02   3.0141095399814036E-02
         1         48   4.7073981365177389E-02   1.3670709349406926E-01   8.7187314911107247E-02   1.2948923819042559E-02
         1         49   0.0000000000000000E+00   8.8420861807060824E-02   1.8937622490198553E-02   1.4544474683993402E-02
         1         50   0.0000000000000000E+00   8.8420861807060824E-02   1.8937622490198553E-02   1.4544474683993402E-02
         1         51   4.1273020758373051E-06   1.7384729462329082E-01   4.1815639790461025E-02   2.5989483426836137E-02
         1         52   4.1273020758373051E-06   1.7384729462329082E-01   4.1815639790461025E-02   2.5989483426836137E-02
         1         53   2.5310475171823551E-02   1.4993519141472203E-01   8.6054133365268043E-02   1.4995603077599161E-02
         1         54   6.0692681728555505E-06   9.5044544708215925E-02   3.1677533859978638E-02   1.7438175727462264E-02
         1         55   6.0692681728555505E-06   9.5044544708215925E-02   3.1677533859978638E-02   1.7438175727462264E-02
         1         56   2.9294881766550138E-07   1.0096761771172275E-01   1.5502417835508436E-02   1.0634215240535205E-02
         1         57   2.9294881766550138E-07   1.0096761771172275E-01   1.5502417835508436E-02   1.0634215240535205E-02
         1         58   2.2704685637859354E-07   8.1958469721040372E-02   1.0391041327211838E-02   7.9826687449566190E-03
         1         59   2.2704685637859354E-07   8.1958469721040372E-02   1.0391041327211838E-02   7.9826687449566190E-03
         1         60   3.2164368938973793E-02   4.7269429799091650E-01   2.5457400599595337E-01   1.1058837424311427E-01
