################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         88   5.0592595311087118E-02   2.3981806947309112E-01   1.1811665205133956E-01   5.9188466608362626E-02
         1         89   5.0592595311087118E-02   2.3981806947309112E-01   1.1811665205133956E-01   5.9188466608362626E-02
         1         90   1.0777189197969881E-02   1.4878831874416135E-01   5.9928269991517444E-02   3.9321887010156771E-02
         1         91   2.4376461396934578E-02   3.1638699941162912E-01   1.8017316129606578E-01   7.6290913012841660E-02
         1         92   3.6377337997609444E-01   1.3414573212375787E+00   9.0214893238847405E-01   2.2699489363910536E-01
         1         93   3.6377337997609444E-01   1.3414573212375787E+00   9.0214893238847405E-01   2.2699489363910536E-01
         1         94   6.2743274161460902E-02   4.0159498188189124E-01   2.0487142400913214E-01   6.0420655087560546E-02
         1         95   6.2743274161460902E-02   4.0159498188189124E-01   2.0487142400913214E-01   6.0420655087560546E-02
         1         96   7.5383553069084730E-02   2.2546667333456330E-01   1.4196135003835636E-01   1.6312920789518955E-02
         1         97   7.5383553069084730E-02   2.2546667333456330E-01   1.4196135003835636E-01   1.6312920789518955E-02
         1         98   9.5118632919176049E-01   1.6892449491211625E+00   1.3277427253436123E+00   1.0991797371139710E-01
         1         99   3.8193021368526853E-01   8.6888231669606686E-01   5.4106205286666564E-01   4.8363046617320993E-02
         1        100   3.8193021368526853E-01   8.6888231669606686E-01   5.4106205286666564E-01   4.8363046617320993E-02
         1        101   2.2226899526418298E-01   9.7232573483550810E-01   5.5213944122390712E-01   1.9490593578445234E-01
         1        102   2.2226899526418298E-01   9.7232573483550810E-01   5.5213944122390712E-01   1.9490593578445234E-01
         1        103   1.4138679916556667E-02   1.1011717019761461E-01   3.4130028557600105E-02   8.3179244703895580E-03
         1        104   6.4970129576020011E-02   2.6427354766566696E-01   1.5803572712265834E-01   4.0922091873626852E-02
         1        105   6.4970129576020011E-02   2.6427354766566696E-01   1.5803572712265834E-01   4.0922091873626852E-02
         1        106   7.6598820488023413E-03   1.4528174133054536E-01   3.8292940510551460E-02   3.8220246894944118E-02
         1        107   2.1021649305979249E-02   2.2270726883263675E-01   1.2243669187635828E-01   4.8803308420976008E-02
         1        108   3.8945346589078733E-01   1.2558993596482197E+00   8.9259196362903159E-01   2.1468935020024121E-01
         1        109   3.8945346589078733E-01   1.2558993596482197E+00   8.9259196362903159E-01   2.1468935020024121E-01
         1        110   7.6832083713396726E-02   3.1372632663472699E-01   2.0504737038420845E-01   5.0779155818179073E-02
         1        111   7.6832083713396726E-02   3.1372632663472699E-01   2.0504737038420845E-01   5.0779155818179073E-02
         1        112   7.0620510236555897E-02   2.1233682287662808E-01   1.3709099916560213E-01   1.5364583134671825E-02
         1        113   7.0620510236555897E-02   2.1233682287662808E-01   1.3709099916560213E-01   1.5364583134671825E-02
         1        114   8.9287339749281380E-01   1.4435652371150325E+00   1.1611662407148995E+00   1.0151780074914284E-01
         1        115   5.5504288020535664E-01   9.3323354812343307E-01   7.0175675753230093E-01   4.7082144994087326E-02
