################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         24   4.6070901046941564E-03   4.9332909245834466E-01   9.3115672977862607E-02   4.6800228069129785E-02
         1         25   3.9954488294297891E-01   7.9271185613623585E-01   4.9441473731569802E-01   2.4569003137403730E-02
         1         26   2.6466714668246642E-03   1.1530019104093453E-01   3.6966688624216239E-02   2.1455964633906852E-02
         1         27   3.4753115619658322E-04   3.8233633814208218E-01   2.9875400728092243E-02   1.8061071680451922E-02
         1         28   2.5420091850473137E-01   5.6825239474981459E-01   3.1026138638044293E-01   1.4644041425950410E-02
         1         29   1.4139005365500282E-01   3.1913555161688706E-01   1.7823690481542398E-01   7.6305607591468502E-03
         1         30   4.8061000216118987E-03   1.9023157254268341E-01   4.3290748913654170E-02   1.8658395912598314E-02
         1         31   4.8061000216118987E-03   1.9023157254268341E-01   4.3290748913654170E-02   1.8658395912598314E-02
         1         32   3.0752306893355709E-02   3.3373333166715802E-01   1.2743045772740802E-01   4.3680168410115655E-02
         1         33   3.0752306893355709E-02   3.3373333166715802E-01   1.2743045772740802E-01   4.3680168410115655E-02
         1         34   1.0576185040169166E-01   2.1560688214588231E-01   1.4409939453557402E-01   1.6354797216850056E-02
         1         35   1.6089064497905602E-02   1.5792964320633332E-01   6.7527959274211929E-02   3.3546741086647840E-02
         1         36   1.6089064497905602E-02   1.5792964320633332E-01   6.7527959274211929E-02   3.3546741086647840E-02
         1         37   2.7137158825345779E-02   2.5770195732076767E-01   1.0328210890251174E-01   3.4087658989986863E-02
         1         38   2.7137158825345779E-02   2.5770195732076767E-01   1.0328210890251174E-01   3.4087658989986863E-02
         1         39   1.4255749302376270E-02   1.2989914679304776E-01   5.8300355540782341E-02   2.7427960059749085E-02
         1         40   1.4255749302376270E-02   1.2989914679304776E-01   5.8300355540782341E-02   2.7427960059749085E-02
         1         41   5.7735578363208985E-06   4.5203815028398309E-01   6.6359268183167980E-02   3.7921316828186620E-02
         1         42   5.7735578363208985E-06   4.5203815028398309E-01   6.6359268183167980E-02   3.7921316828186620E-02
         1         43   4.3821965214575848E-02   3.5491769602280537E-01   1.2326088204023619E-01   2.1476611114534978E-02
