################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         57   2.9294880445223279E-07   2.4655398010937010E-01   1.5851084954296029E-02   1.0617680463778905E-02
         1         58   2.2704684281366267E-07   1.7521311300153095E-01   1.0565157405238636E-02   7.9578302495823313E-03
         1         59   2.2704684281366267E-07   1.7521311300153095E-01   1.0565157405238636E-02   7.9578302495823313E-03
         1         60   3.2164368959147337E-02   5.6454247897875542E-01   2.5810096667508320E-01   1.1190266746520643E-01
         1         61   5.6365161379869555E-01   2.4702401755489101E+00   1.4056322814273816E+00   3.4622345433734592E-01
         1         62   5.6365161379869555E-01   2.4702401755489101E+00   1.4056322814273816E+00   3.4622345433734592E-01
         1         63   1.0752207795955894E-01   7.5758034158283938E-01   3.1821536544682533E-01   9.2928362658090666E-02
         1         64   1.0752207795955894E-01   7.5758034158283938E-01   3.1821536544682533E-01   9.2928362658090666E-02
         1         65   1.2853608822559603E-01   4.4274582748498092E-01   2.3723022966195048E-01   3.1795475466666161E-02
         1         66   1.2853608822559603E-01   4.4274582748498092E-01   2.3723022966195048E-01   3.1795475466666161E-02
         1         67   1.4295963113210137E+00   2.7505097019909148E+00   1.9958739023707652E+00   1.8843264915299979E-01
         1         68   5.9784953941257346E-01   1.5662621226431668E+00   8.6289827356081161E-01   1.3251575830001966E-01
         1         69   5.9784953941257346E-01   1.5662621226431668E+00   8.6289827356081161E-01   1.3251575830001966E-01
         1         70   3.3106839594963550E-01   1.4624879992229349E+00   7.7250321424909629E-01   2.8058175832051180E-01
         1         71   3.3106839594963550E-01   1.4624879992229349E+00   7.7250321424909629E-01   2.8058175832051180E-01
         1         72   3.4177018809789746E-02   2.2568809477417590E-01   7.1384017014552104E-02   2.5535089273496476E-02
         1         73   9.7926873782901630E-02   3.8075051837002394E-01   2.1322194225562488E-01   6.2506038369171568E-02
