################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         25   4.0343494719856232E-01   5.8331673179720400E-01   4.8945331549412657E-01   2.0851531687693312E-02
         1         26   3.3346928986809537E-03   1.1392501104650755E-01   3.8406455684540583E-02   2.2599750450024794E-02
         1         27   3.4999390934688696E-04   1.7426344996932155E-01   2.8632534236283060E-02   1.8159166693139474E-02
         1         28   2.5456806286476436E-01   3.7987483875452743E-01   3.0751238514026835E-01   1.3263781835373299E-02
         1         29   1.4139004978167322E-01   2.2122131023877586E-01   1.7842068097051211E-01   7.4192855021642575E-03
         1         30   4.8060990472236029E-03   9.9730003295318059E-02   4.1840860635746907E-02   1.9050129399104734E-02
         1         31   4.8060990472236029E-03   9.9730003295318059E-02   4.1840860635746907E-02   1.9050129399104734E-02
         1         32   3.1341722261369193E-02   1.9807363550656920E-01   1.2282599475985706E-01   4.3369947481311164E-02
         1         33   3.1341722261369193E-02   1.9807363550656920E-01   1.2282599475985706E-01   4.3369947481311164E-02
         1         34   1.0766156779196204E-01   1.8968235673171391E-01   1.4358378217317286E-01   1.5703844817907840E-02
         1         35   1.7771392144703843E-02   1.5734863431827395E-01   6.9072900321644148E-02   3.5555249095157948E-02
         1         36   1.7771392144703843E-02   1.5734863431827395E-01   6.9072900321644148E-02   3.5555249095157948E-02
         1         37   2.7569782162293215E-02   1.5854703467396666E-01   9.9629738931237694E-02   3.3691676362574717E-02
         1         38   2.7569782162293215E-02   1.5854703467396666E-01   9.9629738931237694E-02   3.3691676362574717E-02
         1         39   1.5641809929994255E-02   1.2989913614608625E-01   5.9609254635025172E-02   2.9029589093536205E-02
         1         40   1.5641809929994255E-02   1.2989913614608625E-01   5.9609254635025172E-02   2.9029589093536205E-02
         1         41   1.6959643493396025E-05   2.2832904347135050E-01   6.3661477427946617E-02   3.8299320856725536E-02
         1         42   1.6959643493396025E-05   2.2832904347135050E-01   6.3661477427946617E-02   3.8299320856725536E-02
         1         43   4.7059470956189502E-02   2.0445225877933743E-01   1.1832032089085495E-01   1.7764699581267519E-02
